Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
5099057,Wizards and Their Wonders: Portraits in Computing,Christopher Morgan,"Morgan, Christopher",,"=""0897919602""","=""9780897919609""",0,3.00,ACM Press,Hardcover,414,1997,1997,,2016/04/11,"acm2, to-read","acm2 (#43), to-read (#43)",to-read,,,,,,,0,,,,,
7201452,The LEGO MINDSTORMS NXT 2.0 Discovery Book: A Beginner's Guide to Building and Programming Robots,Laurens Valk,"Valk, Laurens",,"=""1593272111""","=""9781593272111""",0,4.05,No Starch Press,Paperback,320,2010,2010,,2016/04/11,"to-read, acm2","to-read (#42), acm2 (#42)",to-read,,,,,,,0,,,,,
13593700,Getting Started with Dwarf Fortress: Learn to Play the Most Complex Video Game Ever Made,Peter  Tyson,"Tyson, Peter",,"=""1449314945""","=""9781449314941""",0,4.22,O'Reilly Media,Paperback,240,2012,2012,,2016/04/11,"to-read, acm2","to-read (#41), acm2 (#41)",to-read,,,,,,,0,,,,,
2603040,The Millennium Problems,Keith J. Devlin,"Devlin, Keith J.",,"=""0465017290""","=""9780465017294""",0,3.80,Basic Books,Hardcover,256,2002,2002,,2016/04/11,"to-read, acm2","to-read (#40), acm2 (#40)",to-read,,,,,,,0,,,,,
1575649,"Hacking Exposed: Network Security Secrets & Solutions, Fourth Edition (Hacking Exposed)",Stuart McClure,"McClure, Stuart","Joel Scambray, George Kurtz","=""0072227427""","=""9780072227420""",0,3.58,McGraw-Hill/Osborne Media,Paperback,737,2003,,,2016/04/11,"to-read, acm2","to-read (#39), acm2 (#39)",to-read,,,,,,,0,,,,,
7120401,Lego Mindstorms NXT 2.0: The King's Treasure,James Floyd Kelly,"Kelly, James Floyd",,"=""1430224916""","=""9781430224914""",0,4.07,Apress,Paperback,321,2009,2009,,2016/04/11,"to-read, acm2","to-read (#37), acm2 (#37)",to-read,,,,,,,0,,,,,
6099885,Computer Ethics,Tom Forester,"Forester, Tom",Perry Morrison,"=""0262560658""","=""9780262560658""",0,3.25,MIT Press (MA),Paperback,193,1992,1990,,2016/04/11,"to-read, acm2","to-read (#38), acm2 (#38)",to-read,,,,,,,0,,,,,
1021380,iPod and iTunes Hacks,Hadley Stern,"Stern, Hadley",,"=""0596007787""","=""9780596007782""",0,3.67,O'Reilly Media,Paperback,464,2004,2004,,2016/04/11,"to-read, acm2","to-read (#36), acm2 (#36)",to-read,,,,,,,0,,,,,
13629,The Mythical Man-Month: Essays on Software Engineering,Frederick P. Brooks Jr.,"Jr., Frederick P. Brooks",,"=""0201835959""","=""9780201835953""",0,4.04,Addison-Wesley Professional,Paperback,322,1995,1975,,2016/04/11,"to-read, acm2","to-read (#35), acm2 (#35)",to-read,,,,,,,0,,,,,
9282423,Learn You a Haskell for Great Good!: A Beginner's Guide,Miran Lipovača,"Lipovača, Miran",,"=""1593272839""","=""9781593272838""",0,4.36,No Starch Press,Paperback,376,2011,2011,,2016/04/11,"to-read, acm2","to-read (#34), acm2 (#34)",to-read,,,,,,,0,,,,,
148050,JavaScript: The Definitive Guide,David Flanagan,"Flanagan, David",,"=""0596101996""","=""9780596101992""",0,3.99,O'Reilly Media,Paperback,1032,2006,1996,,2016/04/11,"to-read, acm2","to-read (#33), acm2 (#33)",to-read,,,,,,,0,,,,,
2998152,JavaScript: The Good Parts,Douglas Crockford,"Crockford, Douglas",,"=""0596517742""","=""9780596517748""",0,4.23,Yahoo Press,Paperback,153,2008,2008,,2016/04/11,"to-read, acm2","to-read (#32), acm2 (#32)",to-read,,,,,,,0,,,,,
603245,Python Pocket Reference,Mark Lutz,"Lutz, Mark",,"=""1565925009""","=""9781565925007""",0,3.97,O'Reilly Media,Paperback,80,1998,1998,,2016/04/11,"to-read, acm2","to-read (#31), acm2 (#31)",to-read,,,,,,,0,,,,,
1726799,Apache Pocket Reference,Andrew Ford,"Ford, Andrew",,"=""1565927060""","=""9781565927063""",0,3.85,O'Reilly Media,Paperback,112,2000,2000,,2016/04/11,"to-read, acm2","to-read (#30), acm2 (#30)",to-read,,,,,,,0,,,,,
857508,XML Pocket Reference,Michael Fitzgerald,"Fitzgerald, Michael",Simon St. Laurent,"=""0596100507""","=""9780596100506""",0,3.64,O'Reilly Media,Paperback,178,2005,2005,,2016/04/11,"to-read, acm2","to-read (#29), acm2 (#29)",to-read,,,,,,,0,,,,,
1482700,SQL Pocket Guide,Jonathan Gennick,"Gennick, Jonathan",,"=""0596005121""","=""9780596005122""",0,3.84,O'Reilly Media,Paperback,160,2004,2003,,2016/04/11,"to-read, acm2","to-read (#28), acm2 (#28)",to-read,,,,,,,0,,,,,
8569781,Oracle SQL*Plus Pocket Reference,Jonathan Gennick,"Gennick, Jonathan",,"=""1565929411""","=""9781565929418""",0,3.88,O'Reilly Media,Paperback,94,2000,2000,,2016/04/11,"to-read, acm2","to-read (#27), acm2 (#27)",to-read,,,,,,,0,,,,,
308136,Oracle PL/SQL Language Pocket Reference: A guide to Oracle's PL/SQL language fundamentals,Steven Feuerstein,"Feuerstein, Steven","Steven Feuerstein, Bill Pribyl","=""0596006802""","=""9780596006808""",0,3.40,O'Reilly Media,Paperback,160,2004,2004,,2016/04/11,"to-read, acm2","to-read (#26), acm2 (#26)",to-read,,,,,,,0,,,,,
603222,XML Pocket Reference: Extensible Markup Language,Robert Eckstein,"Eckstein, Robert",,"=""1565927095""","=""9781565927094""",0,3.26,O'Reilly Media,Paperback,110,1999,1999,,2016/04/11,"to-read, acm2","to-read (#25), acm2 (#25)",to-read,,,,,,,0,,,,,
1123255,JavaScript Pocket Reference,David Flanagan,"Flanagan, David",,"=""1565925211""","=""9781565925212""",0,3.70,O'Reilly Media,Paperback,95,1998,1998,,2016/04/11,"to-read, acm2","to-read (#24), acm2 (#24)",to-read,,,,,,,0,,,,,
1404678,Adobe Integrated Runtime (AIR) for JavaScript Developers Pocket Guide,Mike Chambers,"Chambers, Mike","Daniel Dura, Kevin Hoyt","=""0596515197""","=""9780596515195""",0,3.25,Adobe Developer Library,Paperback,176,2007,2007,,2016/04/11,"to-read, acm2","to-read (#22), acm2 (#22)",to-read,,,,,,,0,,,,,
